Hostname,IPv4
ads-app-pro-w01,10.192.0.233
SDJ-BDM-PRO-W01,10.192.2.120
SDJ-BDM-PRU-W01,10.10.132.150
dst-app-pro-w01,10.192.2.134
IMP-APP-PRO-W01,10.192.3.90
SPE-CLI-PRO-W18,10.10.188.7
wre-app-pru-w03,10.10.132.183
wre-bdm-pru-w03,10.10.132.184
fid-app-pru-w02,10.10.132.235
abc-app-pru-w01,10.10.166.43
adc-dom-pro-w11,192.168.105.245
adc-sis-pro-w11,192.168.105.183
ADM-NBK-PRO-W01,10.10.193.102
azc-app-pro-w02,10.192.3.77
dds-bdm-des-w01,10.10.132.46
dds-bdm-pru-w01,10.10.132.167
mon-apc-pro-w01,192.168.105.19
myshf-fn,10.192.3.21
pcn-app-pru-w01,10.10.132.40
pcn-app-qa-w01,10.10.132.156
pcn-bdm-pru-w01,10.10.132.58
sci-app-pro-w01,10.192.2.100
sci-bdm-pro-w01,10.10.161.45
sci-bdm-pru-w01,10.10.132.234
